cluster	species	total_pairs	struct_top_pairs	ani_top_pairs	both_top_pairs	struct_enrichment_ratio	ani_enrichment_ratio	struct_p	ani_p	log2_struct_over_ani	neg_log10_min_p	struct_q	ani_q	mode	category
HROM_Genome_2657	HROM_Genome_2657	1102	78	461	44	1.415608410059176	8.36660867996513	0.0016158644511105	4.7310524894146276e-291	-2.555566088754147	668.4981143698976	0.0045261579517665	2.440473610876259e-290	ani_enriched	both-enriched
HROM_Genome_1709	HROM_Genome_1709	209	21	209	21	2.009569980713376	20.00000599852836	0.0020018085649417	1.2070218447389788e-272	-3.284541678997254	626.1149892540535	0.0055772313493832	6.04671520297123e-272	ani_enriched	both-enriched
HROM_Genome_2697	Staphylococcus aureus	962	290	405	216	6.029107837394204	8.41996094532639	9.070837745645776e-139	2.9324177258892033e-257	-0.4811637508127442	590.6885416542806	4.974638384717315e-138	1.4413109765927122e-256	both_enriched	both-enriched
HROM_Genome_3300	HROM_Genome_3300	1891	516	222	112	5.4574315680807155	2.3479647444068195	5.423792631479973e-223	5.196579455381347e-31	1.2149630130112994	511.78568041942424	3.446092635367153e-222	1.6408593310628374e-30	structural_enriched	both-enriched
HROM_Genome_4964	Aggregatibacter segnis_A	9481	640	1284	368	1.3500689630901963	2.708575857199706	5.5390453357303306e-14	1.0250373604378045e-222	-1.0039364145591705	511.1491615835444	1.861833948332582e-13	4.8549496798917836e-222	ani_enriched	both-enriched
HROM_Genome_3280	VGLK01 sp905372785	666	312	124	61	9.369372179490764	3.723724840566842	4.119617264868547e-216	2.140629543438677e-36	1.3277104474813686	495.9426198245442	2.5859284277066423e-215	6.884370321799696e-36	structural_enriched	both-enriched
HROM_Genome_1703	HROM_Genome_1703	4392	332	791	70	1.5118401620016886	3.6020047233233	2.254484816901978e-13	2.4681287974827865e-212	-1.2512350097486291	487.2445794230697	7.481443245897646e-13	1.1481206281147603e-211	ani_enriched	both-enriched
HROM_Genome_0349	HROM_Genome_0349	276	53	197	37	3.8405808620362434	14.275366600398868	3.981160883814292e-17	2.736703103547864e-188	-1.8842418566633183	431.8792435338437	1.430472289977411e-16	1.218651552947382e-187	ani_enriched	both-enriched
HROM_Genome_2072	Lactobacillus paragasseri	351	42	217	16	2.3931631109350175	12.364676073164256	2.0942266610348166e-07	5.048090820217908e-186	-2.355480654598389	426.6618171804886	6.418188767053761e-07	2.2288604384182462e-185	ani_enriched	both-enriched
HROM_Genome_0286	HROM_Genome_0286	435	83	237	62	3.816093098569779	10.896554992301658	1.106264609701736e-25	1.0789814595059976e-184	-1.508079410744258	423.59963960781033	4.399724134767973e-25	4.6845778366885386e-184	ani_enriched	both-enriched
HROM_Genome_2497	Streptococcus intermedius	1275	194	378	30	3.0431381676192175	5.929413543093114	1.9342542167228684e-42	1.7624306665726394e-177	-0.9605231449995396	406.9908675431304	8.26021677797225e-42	7.526445715445453e-177	both_enriched	both-enriched
HROM_Genome_1017	Prevotella baroniae	780	80	285	48	2.0512826665157293	7.307694499462286	1.8791729945238315e-09	1.153386778962934e-161	-1.826430057248226	370.57349733257223	5.933631091799492e-09	4.807316094717509e-161	ani_enriched	both-enriched
HROM_Genome_0403	Cryptobacterium curtum	820	257	291	103	6.268294562953401	7.097563104355796	1.1450079982346034e-127	5.561803553423724e-161	-0.1789234511299157	369.00027753626654	5.9654916708022826e-127	2.299761628042667e-160	both_enriched	both-enriched
HROM_Genome_3585	Saccharimonas sp015257605 [HROM_Genome_3585]	325	93	189	79	5.723078639578885	11.630772719144185	1.2170790885713658e-43	4.910775885592475e-155	-1.019159578283455	355.30925746324914	5.2841517095473466e-43	2.014578138892661e-154	ani_enriched	both-enriched
HROM_Genome_1669	Pseudoramibacter alactolyticus	295	45	148	25	3.0508483726568683	10.033901314515925	3.601414281819332e-11	4.618329580829933e-109	-1.7065244806020696	249.45174205922777	1.180086063413756e-10	1.7563136581112374e-108	ani_enriched	both-enriched
HROM_Genome_4960	Aggregatibacter actinomycetemcomitans	235	46	134	46	3.914894791201296	11.404258739586384	2.106652475564353e-15	7.604217653513597e-109	-1.5323035514485928	248.9530720885793	7.173633593261621e-15	2.870867679333757e-108	ani_enriched	both-enriched
HROM_Genome_0036	HROM_Genome_0036	210	59	107	37	5.619049304348445	10.190479246869211	7.646804201103854e-28	2.8647980864794398e-80	-0.8533750862815168	183.1543095677639	3.1124882724805534e-27	1.0364998632331864e-79	both_enriched	both-enriched
HROM_Genome_3289	Saccharimonas sp905373835 [HROM_Genome_3289]	351	73	126	29	4.15954540710134	7.179489332805052	3.8203651343708736e-25	1.8262773937173833e-71	-0.7833212298579458	162.88126191862483	1.4743779518572036e-24	6.51705837073121e-71	both_enriched	both-enriched
HROM_Genome_1248	Campylobacter_A concisus_I [HROM_Genome_1248]	247	25	101	11	2.0242921051142067	8.178140104661395	0.0007223495482473	4.504159739814693e-64	-1.9929105752136804	145.86044459519937	0.0020565252165949	1.585585962461794e-63	ani_enriched	both-enriched
HROM_Genome_2716	HROM_Genome_2716	4851	522	531	83	2.1521342261867256	2.1892399887071865	2.280986948265174e-58	1.17573258896725e-61	-0.0246386545628595	140.29579923935142	1.0424510526720664e-57	4.083711192346248e-61	both_enriched	both-enriched
HROM_Genome_2089	Streptococcus sp000187445	1377	227	114	19	3.297023501572939	1.6557739170894938	2.1558147925673192e-55	1.8128191362761033e-07	0.9905189469891148	125.87401136857756	9.766778321109334e-55	4.893672383418912e-07	both_enriched	both-enriched
HROM_Genome_1005	Prevotella sp000163055	986	129	178	70	2.616633644837889	3.6105487502414286	9.280160295354777e-23	1.7856689237531225e-49	-0.4629719763425459	112.2468764644762	3.5291704480874733e-22	5.963676341508826e-49	both_enriched	both-enriched
HROM_Genome_3824	HROM_Genome_3824	801	136	114	17	3.395756324344391	2.8464428012886804	2.6261400822981576e-35	3.019937607762308e-23	0.2535533528229085	79.6249631359704	1.094575186301872e-34	9.255220550848014e-23	both_enriched	both-enriched
HROM_Genome_1219	HROM_Genome_1219	1176	109	160	48	1.8537420525846864	2.7210892515004574	9.897866787272119e-10	1.1023789821421433e-29	-0.5516424275211298	66.67749714127777	3.1636739853796163e-09	3.459876202988293e-29	both_enriched	both-enriched
HROM_Genome_3419	Saccharimonas sp905371715	561	94	51	20	3.3511596503773013	1.8181823635025784	1.6072078560918147e-24	3.81149067253291e-05	0.8757418970378543	54.787543809289346	6.1570242134105565e-24	9.879535524326596e-05	both_enriched	both-enriched
HROM_Genome_4961	Aggregatibacter aphrophilus	2598	180	252	54	1.3856817089049671	1.939954392466954	1.0951572236053909e-05	7.589812747810427e-23	-0.4842845507519862	50.93265021866756	3.223598381346941e-05	2.3124517202393173e-22	both_enriched	both-enriched
HROM_Genome_3666	HROM_Genome_3666	322	66	35	17	4.099380111499602	2.173913695492214	1.5729118503853984e-22	1.6926537259345767e-05	0.9055353159965076	50.20394346253324	5.938312130802845e-22	4.409362956059572e-05	both_enriched	both-enriched
HROM_Genome_3452	Nanosynbacter sp900555675	239	54	35	16	4.518829807198877	2.9288711713326054	9.077115499839851e-21	1.4566249927113445e-08	0.6184372052722442	46.14853048696063	3.4022857377097574e-20	4.0153524931355055e-08	both_enriched	both-enriched
HROM_Genome_3463	Nanosynbacter sp900557595	1007	117	91	24	2.3237345599084587	1.8073491021510235	7.589721008747492e-17	6.931429976380327e-08	0.3608171082809573	37.1171517479076	2.7083867435324955e-16	1.8907199045519114e-07	both_enriched	both-enriched
HROM_Genome_1021	HROM_Genome_1021	2645	230	217	30	1.7391309563937702	1.640832250162818	1.3249491830426252e-15	2.1845555673345532e-12	0.0837513496932473	34.25740228862863	4.571513406392104e-15	6.253590387809353e-12	both_enriched	both-enriched
HROM_Genome_1926	JABZIP01 sp015258265	1867	117	161	21	1.253347992409115	1.7246925365629704	0.0085109470893827	3.673084991390295e-11	-0.4588734081289252	24.027404116862837	0.0232157247830807	1.0400420002795348e-10	both_enriched	both-enriched
HROM_Genome_3578	HROM_Genome_3578	210	32	35	3	3.047619961680512	3.3333343330880605	2.2601983641069872e-08	4.4841975233391456e-10	-0.1273793064762275	21.52529137500067	7.051277531136168e-08	1.256057478311664e-09	both_enriched	both-enriched
HROM_Genome_3600	Saccharimonas sp013333845 [HROM_Genome_3600]	225	28	35	9	2.488889635372418	3.111112044215523	9.67888934101206e-06	2.956562854059183e-09	-0.3168571053399403	19.63923844127613	2.8651712196973197e-05	8.237268700346709e-09	both_enriched	both-enriched
HROM_Genome_3420	Saccharimonas sp013333675	378	33	40	14	1.7460322697127932	2.1164027511670223	0.0015530607513981	8.495547375211781e-06	-0.2737608124268523	11.675968369929551	0.004397525279774	2.235444536608756e-05	both_enriched	both-enriched
