experiment	seed	band	n	MAE	RMSE	bias	r
raw_gated	0	0.8-0.85	463.0	2.952	3.5883	2.7821	0.2339
raw_gated	0	0.85-0.9	829.0	2.8083	3.3591	2.6901	0.3398
raw_gated	0	0.9-0.95	689.0	1.4677	1.8192	1.2739	0.6891
raw_gated	0	0.95-0.99	539.0	0.6664	0.8873	0.4567	0.663
raw_gated	0	all	2520.0	2.01	2.6741	1.8421	0.8739
v4a_ref_gated9	0	0.8-0.85	463.0	0.8059	1.2591	0.3298	0.4127
v4a_ref_gated9	0	0.85-0.9	829.0	0.7315	1.0289	0.2877	0.7205
v4a_ref_gated9	0	0.9-0.95	689.0	0.7639	1.0437	-0.4233	0.8067
v4a_ref_gated9	0	0.95-0.99	72.0	1.0859	1.4673	-0.8074	0.2231
v4a_ref_gated9	0	all	2053.0	0.7716	1.1073	0.0202	0.9405
v4a_ref_gated9	1	0.8-0.85	463.0	0.8059	1.2591	0.3298	0.4127
v4a_ref_gated9	1	0.85-0.9	829.0	0.7315	1.0289	0.2877	0.7205
v4a_ref_gated9	1	0.9-0.95	689.0	0.7639	1.0437	-0.4233	0.8067
v4a_ref_gated9	1	0.95-0.99	72.0	1.0859	1.4673	-0.8074	0.2231
v4a_ref_gated9	1	all	2053.0	0.7716	1.1073	0.0202	0.9405
v4a_ref_gated9	2	0.8-0.85	463.0	0.8114	1.2679	0.3394	0.4079
v4a_ref_gated9	2	0.85-0.9	829.0	0.7315	1.0289	0.2877	0.7205
v4a_ref_gated9	2	0.9-0.95	689.0	0.7639	1.0437	-0.4233	0.8067
v4a_ref_gated9	2	0.95-0.99	72.0	1.0859	1.4673	-0.8074	0.2231
v4a_ref_gated9	2	all	2053.0	0.7729	1.1095	0.0223	0.9402
v4a_ref_gated9	3	0.8-0.85	463.0	0.8059	1.2591	0.3298	0.4127
v4a_ref_gated9	3	0.85-0.9	829.0	0.7505	1.0403	0.3631	0.7269
v4a_ref_gated9	3	0.9-0.95	689.0	0.7639	1.0437	-0.4233	0.8067
v4a_ref_gated9	3	0.95-0.99	72.0	1.0859	1.4673	-0.8074	0.2231
v4a_ref_gated9	3	all	2053.0	0.7793	1.1116	0.0506	0.9402
v4a_ref_gated9	4	0.8-0.85	463.0	0.8059	1.2591	0.3298	0.4127
v4a_ref_gated9	4	0.85-0.9	829.0	0.7315	1.0289	0.2877	0.7205
v4a_ref_gated9	4	0.9-0.95	689.0	0.7639	1.0437	-0.4233	0.8067
v4a_ref_gated9	4	0.95-0.99	72.0	1.0859	1.4673	-0.8074	0.2231
v4a_ref_gated9	4	all	2053.0	0.7716	1.1073	0.0202	0.9405
v4b_ref_gated9+gate	0	0.8-0.85	463.0	0.8059	1.2572	0.3102	0.4101
v4b_ref_gated9+gate	0	0.85-0.9	829.0	0.7317	1.0291	0.2877	0.7204
v4b_ref_gated9+gate	0	0.9-0.95	689.0	0.7624	1.0421	-0.4217	0.807
v4b_ref_gated9+gate	0	0.95-0.99	72.0	1.0878	1.472	-0.8168	0.2234
v4b_ref_gated9+gate	0	all	2053.0	0.7712	1.1066	0.0159	0.9405
v4b_ref_gated9+gate	1	0.8-0.85	463.0	0.8059	1.2572	0.3102	0.4101
v4b_ref_gated9+gate	1	0.85-0.9	829.0	0.7317	1.0291	0.2877	0.7204
v4b_ref_gated9+gate	1	0.9-0.95	689.0	0.7624	1.0421	-0.4217	0.807
v4b_ref_gated9+gate	1	0.95-0.99	72.0	1.0878	1.472	-0.8168	0.2234
v4b_ref_gated9+gate	1	all	2053.0	0.7712	1.1066	0.0159	0.9405
v4b_ref_gated9+gate	2	0.8-0.85	463.0	0.8116	1.2663	0.3203	0.405
v4b_ref_gated9+gate	2	0.85-0.9	829.0	0.7317	1.0291	0.2877	0.7204
v4b_ref_gated9+gate	2	0.9-0.95	689.0	0.7624	1.0421	-0.4217	0.807
v4b_ref_gated9+gate	2	0.95-0.99	72.0	1.0878	1.472	-0.8168	0.2234
v4b_ref_gated9+gate	2	all	2053.0	0.7725	1.1089	0.0182	0.9402
v4b_ref_gated9+gate	3	0.8-0.85	463.0	0.8111	1.2655	0.3194	0.4055
v4b_ref_gated9+gate	3	0.85-0.9	829.0	0.7519	1.0424	0.3609	0.7254
v4b_ref_gated9+gate	3	0.9-0.95	689.0	0.7624	1.0421	-0.4217	0.807
v4b_ref_gated9+gate	3	0.95-0.99	72.0	1.0878	1.472	-0.8168	0.2234
v4b_ref_gated9+gate	3	all	2053.0	0.7806	1.1137	0.0476	0.9399
v4b_ref_gated9+gate	4	0.8-0.85	463.0	0.8059	1.2572	0.3102	0.4101
v4b_ref_gated9+gate	4	0.85-0.9	829.0	0.7317	1.0291	0.2877	0.7204
v4b_ref_gated9+gate	4	0.9-0.95	689.0	0.7624	1.0421	-0.4217	0.807
v4b_ref_gated9+gate	4	0.95-0.99	72.0	1.0878	1.472	-0.8168	0.2234
v4b_ref_gated9+gate	4	all	2053.0	0.7712	1.1066	0.0159	0.9405
v5a_gated9	0	0.8-0.85	463.0	0.8218	1.3402	0.328	0.404
v5a_gated9	0	0.85-0.9	829.0	0.7657	1.0872	0.3211	0.6992
v5a_gated9	0	0.9-0.95	689.0	0.6441	0.9072	-0.1183	0.833
v5a_gated9	0	0.95-0.99	539.0	0.7119	1.0412	-0.3926	0.4813
v5a_gated9	0	all	2520.0	0.7313	1.0844	0.0496	0.9626
v5a_gated9	1	0.8-0.85	463.0	0.8218	1.3402	0.328	0.404
v5a_gated9	1	0.85-0.9	829.0	0.7657	1.0872	0.3211	0.6992
v5a_gated9	1	0.9-0.95	689.0	0.6441	0.9072	-0.1183	0.833
v5a_gated9	1	0.95-0.99	539.0	0.7119	1.0412	-0.3926	0.4813
v5a_gated9	1	all	2520.0	0.7313	1.0844	0.0496	0.9626
v5a_gated9	2	0.8-0.85	463.0	0.8296	1.3525	0.3417	0.3978
v5a_gated9	2	0.85-0.9	829.0	0.7657	1.0872	0.3211	0.6992
v5a_gated9	2	0.9-0.95	689.0	0.6441	0.9072	-0.1183	0.833
v5a_gated9	2	0.95-0.99	539.0	0.7119	1.0412	-0.3926	0.4813
v5a_gated9	2	all	2520.0	0.7327	1.0872	0.0521	0.9624
v5a_gated9	3	0.8-0.85	463.0	0.8218	1.3402	0.328	0.404
v5a_gated9	3	0.85-0.9	829.0	0.7657	1.0872	0.3211	0.6992
v5a_gated9	3	0.9-0.95	689.0	0.6441	0.9072	-0.1183	0.833
v5a_gated9	3	0.95-0.99	539.0	0.7119	1.0412	-0.3926	0.4813
v5a_gated9	3	all	2520.0	0.7313	1.0844	0.0496	0.9626
v5a_gated9	4	0.8-0.85	463.0	0.8296	1.3525	0.3417	0.3978
v5a_gated9	4	0.85-0.9	829.0	0.7657	1.0872	0.3211	0.6992
v5a_gated9	4	0.9-0.95	689.0	0.6441	0.9072	-0.1183	0.833
v5a_gated9	4	0.95-0.99	539.0	0.7119	1.0412	-0.3926	0.4813
v5a_gated9	4	all	2520.0	0.7327	1.0872	0.0521	0.9624
v5b_gated9+gate	0	0.8-0.85	463.0	0.8196	1.3369	0.3074	0.4024
v5b_gated9+gate	0	0.85-0.9	829.0	0.7669	1.0885	0.3211	0.6986
v5b_gated9+gate	0	0.9-0.95	689.0	0.644	0.9071	-0.1178	0.833
v5b_gated9+gate	0	0.95-0.99	539.0	0.7123	1.0446	-0.4028	0.4803
v5b_gated9+gate	0	all	2520.0	0.7313	1.0847	0.0437	0.9625
v5b_gated9+gate	1	0.8-0.85	463.0	0.8196	1.3369	0.3074	0.4024
v5b_gated9+gate	1	0.85-0.9	829.0	0.7669	1.0885	0.3211	0.6986
v5b_gated9+gate	1	0.9-0.95	689.0	0.644	0.9071	-0.1178	0.833
v5b_gated9+gate	1	0.95-0.99	539.0	0.7123	1.0446	-0.4028	0.4803
v5b_gated9+gate	1	all	2520.0	0.7313	1.0847	0.0437	0.9625
v5b_gated9+gate	2	0.8-0.85	463.0	0.8281	1.3495	0.3217	0.3959
v5b_gated9+gate	2	0.85-0.9	829.0	0.7669	1.0885	0.3211	0.6986
v5b_gated9+gate	2	0.9-0.95	689.0	0.644	0.9071	-0.1178	0.833
v5b_gated9+gate	2	0.95-0.99	539.0	0.7123	1.0446	-0.4028	0.4803
v5b_gated9+gate	2	all	2520.0	0.7328	1.0875	0.0464	0.9623
v5b_gated9+gate	3	0.8-0.85	463.0	0.8196	1.3369	0.3074	0.4024
v5b_gated9+gate	3	0.85-0.9	829.0	0.7669	1.0885	0.3211	0.6986
v5b_gated9+gate	3	0.9-0.95	689.0	0.644	0.9071	-0.1178	0.833
v5b_gated9+gate	3	0.95-0.99	539.0	0.7123	1.0446	-0.4028	0.4803
v5b_gated9+gate	3	all	2520.0	0.7313	1.0847	0.0437	0.9625
v5b_gated9+gate	4	0.8-0.85	463.0	0.8281	1.3495	0.3217	0.3959
v5b_gated9+gate	4	0.85-0.9	829.0	0.7669	1.0885	0.3211	0.6986
v5b_gated9+gate	4	0.9-0.95	689.0	0.644	0.9071	-0.1178	0.833
v5b_gated9+gate	4	0.95-0.99	539.0	0.7123	1.0446	-0.4028	0.4803
v5b_gated9+gate	4	all	2520.0	0.7328	1.0875	0.0464	0.9623
raw_gated	mean	0.8-0.85	463.0	2.952	3.5883	2.7821	0.2339
raw_gated	mean	0.85-0.9	829.0	2.8083	3.3591	2.6901	0.3398
raw_gated	mean	0.9-0.95	689.0	1.4677	1.8192	1.2739	0.6891
raw_gated	mean	0.95-0.99	539.0	0.6664	0.8873	0.4567	0.663
raw_gated	mean	all	2520.0	2.01	2.6741	1.8421	0.8739
v4a_ref_gated9	mean	0.8-0.85	463.0	0.807	1.2609	0.3317	0.4117
v4a_ref_gated9	mean	0.85-0.9	829.0	0.7353	1.0312	0.3028	0.7218
