biosample	Extraction Date	Extraction Method	Laboratory Host	Passage Date	collected_by	collection_date	culture_collection	description	geo_loc_name	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	identification method	isolate	isolate_name_alias	isolation_source	lat_lon	note	passage_history	pathotype	ref_biomaterial	sample_type	serotype	serovar	strain	sub_species	subsrc_note	type-material
SAMN16357396					ARMADA	missing	FDA:FDAARGOS_1254		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1254			
SAMN16357391					ARMADA	missing	FDA:FDAARGOS_1249		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1249			
SAMN16357399					ARMADA	missing	FDA:FDAARGOS_1257		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1257			
SAMN16357406					ARMADA	missing	FDA:FDAARGOS_1264		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1264			
SAMN16357400					ARMADA	missing	FDA:FDAARGOS_1258		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1258			
SAMN16357410					ARMADA	missing	FDA:FDAARGOS_1268		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1268			
SAMN16357404					ARMADA	missing	FDA:FDAARGOS_1262		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1262			
SAMN16357409					ARMADA	missing	FDA:FDAARGOS_1267		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1267			
SAMN16357394					ARMADA	missing	FDA:FDAARGOS_1252		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1252			
SAMN16357390					ARMADA	missing	FDA:FDAARGOS_1248		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1248			
SAMN16357395					ARMADA	missing	FDA:FDAARGOS_1253		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1253			
SAMN16357401					ARMADA	missing	FDA:FDAARGOS_1259		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1259			
SAMN16357392					ARMADA	missing	FDA:FDAARGOS_1250		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1250			
SAMN16357407					ARMADA	missing	FDA:FDAARGOS_1265		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1265			
SAMN16357408					ARMADA	missing	FDA:FDAARGOS_1266		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1266			
SAMN16357424					ARMADA	missing	FDA:FDAARGOS_1282		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1282			
SAMN16357431					ARMADA	missing	FDA:FDAARGOS_1289		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1289			
SAMN16357437					ARMADA	missing	FDA:FDAARGOS_1295		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1295			
SAMN16357428					ARMADA	missing	FDA:FDAARGOS_1286		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1286			
SAMN16357444					ARMADA	missing	FDA:FDAARGOS_1302		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1302			
SAMN16357515					ARMADA	missing	FDA:FDAARGOS_1373		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1373			
SAMN16357421					ARMADA	missing	FDA:FDAARGOS_1279		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1279			
SAMN16357446					ARMADA	missing	FDA:FDAARGOS_1304		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1304			
SAMN16357422					ARMADA	missing	FDA:FDAARGOS_1280		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1280			
SAMN16357441					ARMADA	missing	FDA:FDAARGOS_1299		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1299			
SAMN16357433					ARMADA	missing	FDA:FDAARGOS_1291		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1291			
SAMN16357442					ARMADA	missing	FDA:FDAARGOS_1300		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1300			
SAMN16357430					ARMADA	missing	FDA:FDAARGOS_1288		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1288			
SAMN16357479					ARMADA	missing	FDA:FDAARGOS_1337		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1337			
SAMN16357435					ARMADA	missing	FDA:FDAARGOS_1293		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1293			
SAMN16357445					ARMADA	missing	FDA:FDAARGOS_1303		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1303			
SAMN16357432					ARMADA	missing	FDA:FDAARGOS_1290		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1290			
SAMN16357514					ARMADA	missing	FDA:FDAARGOS_1372		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1372			
SAMN16357438					ARMADA	missing	FDA:FDAARGOS_1296		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1296			
SAMN16357429					ARMADA	missing	FDA:FDAARGOS_1287		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1287			
SAMN16357513					ARMADA	missing	FDA:FDAARGOS_1371		USA:WA	Homo sapiens	missing	not applicable	missing	missing	missing	missing	missing	Phenotypic and Molecular Methods	not applicable		missing	not applicable								FDAARGOS_1371			
