kind	x	y	v1	v2	v3	v4
tracks	breakpoint_count		0.12254437149450349	-0.37720739883891097	-0.02896675888127176	43334.0
tracks	synteny_blocks		0.30452318711322635	0.7714683962139534	0.7301481821229466	43334.0
tracks	dnadiff_breakpoints		-0.1242943197298951	0.40804638209610017	0.5591775428981364	43334.0
tracks	dnadiff_breakpoints_min10000		-0.1358193403555149	0.372441504475025	0.535428828266068	43334.0
tracks	dnadiff_blocks		-0.20391816315221312	0.26152576672071615	0.2970954941499635	43334.0
tracks	dnadiff_large_indels_min10000		-0.16106497127819852	0.23183620108587555	0.3357349546395704	43334.0
tracks	mm2_breakpoints		0.02542994138351344	0.490887012083999	0.6512023824646863	43334.0
tracks	anchor_adjacency		0.11812558649977127	0.005499503479094801	-0.07192628403332216	43334.0
tracks	af_query		0.44904150272066173	0.007700553312232005	0.008184240748286692	43334.0
partial	breakpoint_count	dnadiff_breakpoints	0.13267024538043865	0.15018967259855875	0.33894936991275615	0.4143209527314569
partial	breakpoint_count	dnadiff_breakpoints_min10000	0.14686875212840325	0.16629535168485204	0.3343301286961267	0.40959745613649357
partial	breakpoint_count	dnadiff_large_indels_min10000	0.2553066111811042	0.28079912613073366	0.3804621549243124	0.45278380249418976
partial	synteny_blocks	dnadiff_blocks	0.4937921255498973	0.5961344779711654	0.47552871272840697	0.5737199862827875
partial	synteny_blocks	dnadiff_breakpoints	0.511686397724702	0.5814475419952789	0.33894936991275626	0.4143209527314569
partial	breakpoint_count	mm2_breakpoints	0.06412360873831863	0.06149049999985272	0.3089610249841797	0.3400809583856825
