experiment	seed	band	n	MAE	RMSE	bias	r
v4a_gated9	1	0.9-0.95	689.0	0.7074	0.9791	-0.1994	0.8138
v4a_gated9	1	0.95-0.99	539.0	0.8621	1.2677	-0.6011	0.4166
v4a_gated9	1	all	2520.0	0.8515	1.2673	0.0455	0.9486
v4a_gated9	2	0.8-0.85	463.0	0.9457	1.3703	0.522	0.3725
v4a_gated9	2	0.85-0.9	829.0	0.9117	1.4113	0.4035	0.6001
v4a_gated9	2	0.9-0.95	689.0	0.7074	0.9791	-0.1994	0.8138
v4a_gated9	2	0.95-0.99	539.0	0.8621	1.2677	-0.6011	0.4166
v4a_gated9	2	all	2520.0	0.8515	1.2673	0.0455	0.9486
v4a_gated9	3	0.8-0.85	463.0	0.9457	1.3703	0.522	0.3725
v4a_gated9	3	0.85-0.9	829.0	0.9117	1.4113	0.4035	0.6001
v4a_gated9	3	0.9-0.95	689.0	0.7074	0.9791	-0.1994	0.8138
v4a_gated9	3	0.95-0.99	539.0	0.8621	1.2677	-0.6011	0.4166
v4a_gated9	3	all	2520.0	0.8515	1.2673	0.0455	0.9486
v4a_gated9	4	0.8-0.85	463.0	0.9457	1.3703	0.522	0.3725
v4a_gated9	4	0.85-0.9	829.0	0.9117	1.4113	0.4035	0.6001
v4a_gated9	4	0.9-0.95	689.0	0.7074	0.9791	-0.1994	0.8138
v4a_gated9	4	0.95-0.99	539.0	0.8621	1.2677	-0.6011	0.4166
v4a_gated9	4	all	2520.0	0.8515	1.2673	0.0455	0.9486
v4b_gated9+gate	0	0.8-0.85	463.0	0.9339	1.3664	0.5118	0.3702
v4b_gated9+gate	0	0.85-0.9	829.0	0.9108	1.4108	0.4037	0.6004
v4b_gated9+gate	0	0.9-0.95	689.0	0.71	0.9819	-0.1937	0.8117
v4b_gated9+gate	0	0.95-0.99	539.0	0.8638	1.2713	-0.6088	0.4152
v4b_gated9+gate	0	all	2520.0	0.8501	1.2677	0.0437	0.9485
v4b_gated9+gate	1	0.8-0.85	463.0	0.9339	1.3664	0.5118	0.3702
v4b_gated9+gate	1	0.85-0.9	829.0	0.9108	1.4108	0.4037	0.6004
v4b_gated9+gate	1	0.9-0.95	689.0	0.7069	0.9782	-0.1982	0.814
v4b_gated9+gate	1	0.95-0.99	539.0	0.8638	1.2713	-0.6088	0.4152
v4b_gated9+gate	1	all	2520.0	0.8492	1.2669	0.0424	0.9486
v4b_gated9+gate	2	0.8-0.85	463.0	0.9339	1.3664	0.5118	0.3702
v4b_gated9+gate	2	0.85-0.9	829.0	0.9108	1.4108	0.4037	0.6004
v4b_gated9+gate	2	0.9-0.95	689.0	0.7069	0.9782	-0.1982	0.814
v4b_gated9+gate	2	0.95-0.99	539.0	0.8638	1.2713	-0.6088	0.4152
v4b_gated9+gate	2	all	2520.0	0.8492	1.2669	0.0424	0.9486
v4b_gated9+gate	3	0.8-0.85	463.0	0.9414	1.3765	0.5258	0.364
v4b_gated9+gate	3	0.85-0.9	829.0	0.9108	1.4108	0.4037	0.6004
v4b_gated9+gate	3	0.9-0.95	689.0	0.7069	0.9782	-0.1982	0.814
v4b_gated9+gate	3	0.95-0.99	539.0	0.8638	1.2713	-0.6088	0.4152
v4b_gated9+gate	3	all	2520.0	0.8506	1.2689	0.045	0.9484
v4b_gated9+gate	4	0.8-0.85	463.0	0.9339	1.3664	0.5118	0.3702
v4b_gated9+gate	4	0.85-0.9	829.0	0.9108	1.4108	0.4037	0.6004
